time,utilization
2026-05-25 11:31:11,63.86
2026-05-25 11:31:12,65.64
2026-05-25 11:31:13,65.65
2026-05-25 11:31:14,65.80
2026-05-25 11:31:15,65.95
2026-05-25 11:31:16,65.95
2026-05-25 11:31:17,66.02
2026-05-25 11:31:18,66.01
2026-05-25 11:31:19,66.36
2026-05-25 11:31:20,66.39
2026-05-25 11:31:21,67.39
2026-05-25 11:31:22,69.50
2026-05-25 11:31:23,70.84
2026-05-25 11:31:24,72.01
2026-05-25 11:31:25,73.10
2026-05-25 11:31:26,73.82
2026-05-25 11:31:27,73.55
2026-05-25 11:31:28,73.47
2026-05-25 11:31:29,73.39
2026-05-25 11:31:30,73.33
2026-05-25 11:31:31,73.27
2026-05-25 11:31:32,73.17
2026-05-25 11:31:33,73.15
2026-05-25 11:31:34,73.05
2026-05-25 11:31:35,72.88
2026-05-25 11:31:36,72.80
2026-05-25 11:31:37,72.56
2026-05-25 11:31:38,72.49
2026-05-25 11:31:39,72.39
2026-05-25 11:31:40,72.26
2026-05-25 11:31:41,72.18
2026-05-25 11:31:42,72.08
2026-05-25 11:31:43,72.06
2026-05-25 11:31:44,72.00
2026-05-25 11:31:45,71.98
2026-05-25 11:31:46,71.98
2026-05-25 11:31:47,71.98
2026-05-25 11:31:48,71.99
2026-05-25 11:31:49,71.94
2026-05-25 11:31:50,71.94
2026-05-25 11:31:51,71.77
2026-05-25 11:31:52,71.72
2026-05-25 11:31:53,71.72
2026-05-25 11:31:54,71.27
2026-05-25 11:31:55,63.94
2026-05-25 11:31:56,63.88
2026-05-25 11:31:57,63.88
2026-05-25 11:31:58,63.88
2026-05-25 11:31:59,63.88
2026-05-25 11:32:00,63.89
2026-05-25 11:32:01,63.89
2026-05-25 11:32:02,63.90
2026-05-25 11:32:03,63.90
2026-05-25 11:32:04,63.90
